content,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We purchased a 95 Gulfstream DP. The floor was rotted out. I finished the floor in the front and just finished putting the kitchen cabinets back in with a new sink. Attacking the bathroom next.,Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by Seasoned Grace
We purchased a 95 Gulfstream DP. The floor was rotted out. I finished the floor in the front and just finished putting the kitchen cabinets back in with a new sink. Attacking the bathroom next.
Nice. Pictures please if you have them. Always like to see the improvements.",Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by Jbertram2
I’ve replace both of the thermostats Still no heat
Not much to go on...There is in most RV water
heaters, a thermal fuse. It's under the outside access plate. It's covered with a black sleeve. A little bullet shaped device that fails seemingly at random and shuts down the WH. It's obvious when you try to ohm it out. It should read zero but when bad will read 1. Or infinity depending on meter.
I believe the output wire from it is purple and goes to a 1/4"" terminal on the ESI board. Check for 12 volt there. If it's zero volt, the thermal fuse is bad.
The printing on the fuse give enough info to google it. Amazon and eBay carry them. So do most electrical supply places. So do RV stores.
This all assumes you usually try to heat your water with propane. But if the thermal fuse is bad, some ESI control boards will shut off the electric element relay too.",Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by GMoore
Power Gear hydraulic leveling system. 19 year old motor rusted up, bad noises coming from the pump.
Motor sits on a plate with pump below in the fluid reservoir. You can see the bearing, it wouldn't turn.
Replaced the motor, bearing, seal on the pump shaft and cleaned up the plate.
On a gasser all this sits behind the front grill, everything gets wet driving in the rain.
Now it is the quietest it has ever been.
Mine pump etc. is midship by my genset.",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by MikeGee
Just installed qty 2 new Group 31 chassis batteries. Now working on air dryer that is purging too frequently. Have replaced the dryer filter and rebuilt the lower end (valves) with Haldex kit. Will start looking for / chasing leaks at this point. This rig has pretty much been my retirement project for a year or so. Keeps me broke and out of trouble. ;-)
Air dryer cycling issues are almost never caused by the air dryer. Every time the compressor unloads the dryer purges. Find out why the system won't hold pressure and your cycling issue will be cured.
OTOH, rebuilding the dryer can't hurt anything.
If you don't find an external leak start testing valves.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Many times the leaks are in the 1/4 "" lines between the dryer, governor and wet tank. If the governor is remote mounted, there is one more line to check.
The air pressure gauges don't monitor the wet tank, so the leak could be undetected while in the cab.
In a few cases, I've temporarily installed a air gauge in the drain valve port of the wet tank to check the lines for leaks.
The wet tank will be one end of the longer air tank with 2 drains. Look for the seam around it. The wet tank will be the shorter section.",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by iamblum
As we all know these beasts are worse than the kids or the DW and need lots of attention. Seems like it's always asking me to bring it home for the weekend to ""give"" it some tlc. So I replaced the flush valve on the thereford Aqua magic IV, replaced the Kwikee step controller, 3 12 volt house batteries, circuit board for the Atwood water heater
and next is replacing the slide topper material. Still need to research a bit more before doing that 1. What have you don't lately?
DH replaced the old Magnetek 6345 converter/charger with a new WFCO 9845 model, then continued tearing out the old carpet. I'm just the cleanup crew so I carried the old carpet out front and tossed it over the fence and then into the trash can! Happy to say that the house batteries are showing a full charge (sans battery charger) for the first time, and the converter/charger fan actually turns on and off. Second coat of Dicor applied over new roof membrane - looks great! Delam repair on tap but not until the floor is done and we sort out whether to put together our own kit or buy one from delamrepair.com. I want to go camping soon (before winter)!",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by MikeGee
Just installed qty 2 new Group 31 chassis batteries. Now working on air dryer that is purging too frequently. Have replaced the dryer filter and rebuilt the lower end (valves) with Haldex kit. Will start looking for / chasing leaks at this point. This rig has pretty much been my retirement project for a year or so. Keeps me broke and out of trouble. ;-)
I just went through this process. The first thing i would recommend is to air it up and listen, if you don't hear anything obvious i would look up the brake tests that should be done pre trip, it gives you a guideline as to how much pressure the system should lose doing standard tests. It will give you an idea if the brake chambers are the issue. Otherwise you need a good old bottle of soap water and start hunting. Its helpful to understand how the system works, i will not go into it here but you can find all this on the internet. there are relays front and rear that control the front and rear brakes. I just went through this, I had a leaking leveling valve.",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Changed water heater check valve yesterday (no small tas) and starter on engine today. Also lubed the chassis. I think she’s ready for the road, now.",Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by ga traveler
Replaced all four tires on rear. Good for another ten years. Removed the Sony ten disc CD player. The second 10 disc player to go bad. Two years ago I replaced radio with a radio with a built in cd player. I am sticking with a am FM cd player radio from now on. Replaced broken storage door latches with latches bought on line four 4 bucks a piece. Ready for a trip to Savannah.
10 years on tires are said to be streaching it 5 to 7 years are max iv been hearing.
As tires die from inside out.
Just because it has low miles does not make it safe for a mf heave load.
Just a fyi something to ponder on",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by Chevelle427
10 years on tires are said to be streaching it 5 to 7 years are max iv been hearing.
As tires die from inside out.
Just because it has low miles does not make it safe for a mf heave load.
Just a fyi something to ponder on
I was a service manager and was lucky enough to go to the dealer show every year at Louisville. This show is not open to the public. It is for dealers only. All the representatives from the different manufacturers are there. This includes the tire manufacturers. ALL the manufacturers said there tires were good for ten years. Where does the 5 to 7 years come from? The tire dealers. They are wanting to sell more tires. I will go with the manufacturers recommendation every time. The funny thing is, according to the manufacturers, your chance of a tire failure is with a new tire. If a tire is built bad it will fail fairly soon. If it lasts several years, it was built to specs and will be good for ten years.",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Repaired my own foggy windows on the driver and passenger side on my Bounder 35K.
Hoping I get a few years out of it.",Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by Kiss4aFrog
Ordered a battery filling kit from RVupgrades. Installed it this morning and tried it out with some distilled water. So much easier than trying to fill each cell separately.
Something you may want to consider and something I always forgot to do if you winterize, is to drain the water in the feeder hose. I never had any problems but just thought I would mention it.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have finally gotten bay door 7 to lock and unlock with the remote. A lot of connections cleaned and lubed the entire mechanism. Had 6 working before now all 7 do.
Just changed the 19 year old Aquajet water pump as it finally quit. Used ARV 5503-AV15-B636 model. Slipped into old spot perfectly. Hope this on lasts as long as first one.
Changed the fresh water fill as it was leaking at the hose connector.
Also got the power shades on the front window to work properly. Again contact cleaner to the rescue. Those switches are little devils to get out. Once they are out easy to work on.
Terry",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Got down to Mazatlan and hook up the water after running it for 10 seconds or so. Too tired at that moment to dig out my water filter and didn't get to it until two days later. Used maybe 5 gallons of water. BUT, that was enough to plug my water system with green leafy flotsam. I've been picking it out, blowing it out with air, and messing with it now for several days.
Not fun. But did have the result that I replaced the bad water pressure accumulator I had that had a factory defect...18 years old. So that's replaced now.",Plumbing and Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New muffler and tailpipe. Turns out Freightliner had the exact part, gave them the last digits of VIN #, two days later picked it up. Best price I could find as well. Topped off batteries, was planning on replacing all 4 6v GC house batteries last fall as they are 8 years old but didn't get around to it. . . . which was probably a good thing, since we probably won't use the RV until Fall with all the crap going around right now.
Repaired instrument panel cover lift strut in front of coach.
Need to go over roof and check sealant, but no rush as it's in the garage.
Fixed other small stuff, drawer latch here, trim molding there, that sort of thing.
It's just AMAZING all of the little nitnoid stuff that is getting done around the house with all our ""home time"".",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by Jim_HiTek
Got down to Mazatlan and hook up the water after running it for 10 seconds or so. Too tired at that moment to dig out my water filter and didn't get to it until two days later. Used maybe 5 gallons of water. BUT, that was enough to plug my water system with green leafy flotsam. I've been picking it out, blowing it out with air, and messing with it now for several days.
Not fun. But did have the result that I replaced the bad water pressure accumulator I had that had a factory defect...18 years old. So that's replaced now.
I learned the filter lesson some time back. I sure don't want that junk in the holding tank.",Plumbing and Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed flletwood a/c control
irv2 and its contributors have been a valuable resource for people like me who own an older motor-home. In particular, I want to do a special thank you to Waiter21. Its people like him that make irv2 the valuable resource it's become.
I'm getting ready for a trip in a few weeks, but having problems with my A/C and furnace, They come on and run for no reason, and are totally unreliable. It got to the point where I was turning the circuit breakers on/off to run the units manually. I need to get this fixed before my trip
Searching through posts on irv2, this seemed to be a common problem with older Intellitec ECC control systems. Waiter21 chimed in and offered several things to get the system working, cleaning the switches and sliders, look carefully at the circuit boards for corrosion and bad solder joints especially where the connectors plugs are. He gave me his phone number and we talked on the phone. Everything looked ok, but when I tested it, there wasn't any change He suggested calling Intellitec, they may be able to repair my boards, and also check with Fleetwood, they may have some new boards in stock.
He then said he had one other option that I might be interested in. He does electronics and computers as a hobby, and had been working on a replacement for his Intellitec system. He had so much documantion that he put together a dedicated web site just for this (he does web sites as a hobby also). I wasn't expecting a lot but went there as a last resort just to see what he had done.
www.waiterecc.com
WOW - This is AWSOME
After talking to Intellitec and Fleetwood, I called Waiter21 about what it would take to get one of his systems. (his real name is John) He said he doesn't offer these for sale because he's still tweaking on it, and the market is so small its probably not a viable commercial product. He said he'd let me have one at cost, but I needed to review all the installation, operation, and technical stuff on the web site, install and operate it, then report back any problems or suggestions for improvement. He called it BETA testing.
He sent me a system, circuit board, operator panel, temperature sensor, and some custom wire bundles. It took about 2 hours to install everything. When I turned it on, IT WORKED.. I followed his recommendation to do a calibration of the original temperature sensors, they were within 1 degree.
As I operated the system over the next few days, I had two questions for him. The AUTO COOL seemed to operate a little differently than the original Intellitec. (I like the new way). He said several others had suggested changeing how the blower operates in AUTO. Everyone likes the new process, when A/C reches the set point, blower turns off about 30 seconds after the compressor turns off.
The other big one for me was the temperature display. I live in Canada and we do things the correct way, in Celsius. When I called him, he said “DARN, I never even thought of that”. That afternoon, he calls me back and says to check my email. He had made a change to the software so you can configure it to either display in F or C. He then walked me through how to upload this change to my system.
This whole experience has been absolute awesome, If it hadn't been for irv2 and Waiter21, I probably would have spent a thousand dollars to fix the old system. Instead, I now have a modern system that has all kinds of neat features, at a small fraction of the cost. Again, Thank you Waiter21, you have some really neat hobbies.
If you're having problems with your Intellitec system, and it looks like its not repairable, take a look at what Waiter21 has put together. Visit his web site and check out his system. Contact him and see what it would take to get one of these for you motor-home. www.waiterecc.com",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Well gang,
I noticed a few drops of pink type fluid on my RV garage floor so I got under it to check out just what it was. It could have been tranny fluid or coolant. It was coolant. A loose radiator hose
clamp for a radiator lower hose was that culprit. But, while under there I noticed the water pump belt was quite loose on our CAT C-7 330HP. Well it was a major operation to do what was needed to be done. I had to yank the radiator, air intake
tube, and slide out the basement A/C 3/4 of the way.
All of that was needed to gain access to the fastening bolts/screws etc. that retain the radiator and CAC in our '04 Itasca Horizon 36GD. I had to yank the radiator simply because, I could not get to ONE BOLT that is used to secure the water pump belt tensioner so I could tighten the water pump belt. When I finally got to it, I found the tensioner was very rough in rotation so, I removed it and installed new bearings. While in there, I installed new bearings in both my serpentine belt tensioner and the serpentine belt idler.
And, might as well install some new belts while in there too. Once that was all back together, I dove into removing the S-cam rollers on my front brakes and clean and lube all that stuff up. I re-adjusted the slack adjusters, took it all out for a test drive and, no leaks in the rear of the coach, no clunk in the brake application and, all is well. Man these things are a pain in the A...
But, hopefully, I'm good for quite a while and can use it with confidence that important stuff is taken care of.
Scott",Plumbing and Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We lost our satellite reception a year ago. Last June, our dealer replaced the receiver with a Wally and the dome antenna with a Playmaker. They could not get it to lock on to the satellite's. We needed the coach for a trip and we do not watch TV much on the road, so we let it go. They tried again in Sept before we left for the south, but still no cigar. After several attempts on my own, I finally have reception, but still confused. It turned out that both coax cables from the playmaker (Tiffin had a spare cable) would carry 13.25 volts to the antenna, but would not carry a signal back to the receiver. The HDMI powered splitter was also bad. I finally have a perfect picture with sound by running an external coax from antenna through the gap of a bedroom slide into the receiver and using the powered HDMI splitter that was intended for Traveler Sat antenna which we do not have. I am at a a loss as to how or why both OEM coax cables and the HDMI splitter could be bad. I tried eliminating different combinations of each component, but could not single out just one of them. Now, the simplest permanent solution is to run the new coax down next to the middle AC unit
into the ceiling and down the wall. Maybe I'll never know the cause.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Well, yesterday when attempting to replace my air pressure spin on filter, it wouldn't budge using my strap wrench. Then for trying to slip my metal big over the cannister, it's jammed tight against the air hoses. Sooooooo, now for removing and putting spacers behind the bolts, which entailed doing the same for a little piece next to it, connected by a plastic hose that's barely long enough. All it takes is a little slack on this stuff instead of stretching everything so tight. Not blaming it on engineers with bean counters following them around, however.
Anyway, my filter wrench
easily slipped over it now and for easily coming loose.
By the way and for those doing so, don't forget to bleed all the air out or you might not ever break it free. Mine has an air valve on the line next to it, but you may have to bleed the tanks with the lanyards' or for crawling down under to do so.",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sounds like I am not the only one with cable issues. We have not been able to get cable to work at any RV parks, but have only been to about 7 or so since we bought our '21 Cornerstone. Since the dealer, MHSRV in Texas, said they couldn't do it for a couple of weeks when we BOUGHT the coach, we figured we would wait and take care of it later. Well, later has arrived. I contacted DISH and DTV, and since we don't have either one at our home, the quote is $177 a month for MOST of the channels we actually want. Hmmm, for part timers, not sure that sounds quite right. Then I meet a nice couple in Naples that said they plug in a device like an Apple TV box, and they are tied to their home account and it doesn't cost them anything. ?? I call Apple, as we have multiple Apple boxes at home, and they said they don't know anything about RV's. I call the closest Entegra dealer, and they say to order the receiver and set up the plan we want, then bring it to them and they will sort it out for me. I just can't quite seem to get my arms around the simple facts. I have a Winegard satellite on the roof already, so it should be simple, but beyond my expertise. And no one I have talked with knows how to get in motion satellite/wi-fi, so I am hoping the dealer can do it.
The only thing I fixed my myself lately is my drawer under the entry steps that would keep popping open on all my LH turns. Dealer said they fixed it, but on the first corner leaving the dealership, the drawer slammed into the entry door again. So when I got home, I figured out how to remove the drawer, then discovered there was a screw missing inside that held the back of the drawer in position with a magnet holding the drawer shut. After shimming up with an additional magnet, the problem was solved.
Now, if I can just learn all the tech-y stuff",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Departing Gulf Shores, Alabama, last week I heard a flapping noise under the engine cover. I removed the cover and found the engine serpentine belt was disintegrating . The spare belt was folded tightly and didn't want to spread out to fit the many pulleys so after several unsuccessful attempts I ended up using tape to hold it on the alternator and A/C compressor pulleys while I crawled underneath to connect everything else. The Chevy 8.1 engine has the belt tensioner underneath, and a 3/8 breaker bar
is used to rotate it to release the belt tension. It's very handy to have a small ratchet strap to hold the breaker bar
in position while attaching the serpentine belt. Also, a pair of needle nose pliers
to remove remains of the belt that had wrapped around the fan hub. The good news is that I caught this in time to pull into a shopping center for replacement rather than having a complete failure on the interstate highway",Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by Crasher
We lost our satellite reception a year ago. Last June, our dealer replaced the receiver with a Wally and the dome antenna with a Playmaker. They could not get it to lock on to the satellite's. We needed the coach for a trip and we do not watch TV much on the road, so we let it go. They tried again in Sept before we left for the south, but still no cigar. After several attempts on my own, I finally have reception, but still confused. It turned out that both coax cables from the playmaker (Tiffin had a spare cable) would carry 13.25 volts to the antenna, but would not carry a signal back to the receiver. The HDMI powered splitter was also bad. I finally have a perfect picture with sound by running an external coax from antenna through the gap of a bedroom slide into the receiver and using the powered HDMI splitter that was intended for Traveler Sat antenna which we do not have. I am at a a loss as to how or why both OEM coax cables and the HDMI splitter could be bad. I tried eliminating different combinations of each component, but could not single out just one of them. Now, the simplest permanent solution is to run the new coax down next to the middle AC unit
into the ceiling and down the wall. Maybe I'll never know the cause.
The HDMI splitter failure is a known problem with Tiffin coaches. They overheat due to their mounting location. Several people have said they mounted a cooling fan
near the splitter to keep it cool. Search for this problem on this site to find the solution.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I had same problem. Discovered I was not waiting long enough for the sat dish to lock on to the sat signal. It takes about 10 minutes to lock to sat signal. Also had to inspect and exercise the dip switches on the in motion receiver circuit card inside the dome sat antenna.,Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replaced leaking propane gas regulator while at Willow Beach Arizona. Took awhile to find what was leaking. They crimped the two halves together. Guess they never heard of screws.,Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last repair on my coach I had Freightliner Las Vegas replace the airbags, and since it was at the shop I told them to recharge my air conditioning system. They done a good job.",Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 Bounder V10 engine 33k miles failed and engine replaced. Replacement engine? Failed on start up.,Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by computerguy
2016 Bounder V10 engine 33k miles failed and engine replaced. Replacement engine? Failed on start up.
That really sucks. Can you give more specifics on what ""failed"" means? For instance, wouldn't start, or put connecting rod through side of case . . . Just curious . . .",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Had to replace the turbo on my Cummins ISL, saved a lot doing myself and buying from a reman facility. Rather than from dealer. But dealer still cost $1200 for diag. and update Cummins software. Saved roughly $2500. Also in middle of replacing 28’ slide topper, making ourselves as the wife has the machines to do this. Another big savings.
Can save a lot of you can do yourself. Just need the motivation.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"My Norcold was working perfect, but while at a resort in San Diego we were getting ready to go out and I happen to notice no lights or power coming into the refrigerator. What happened the heat sensor turned it off. So I decided to call a repairman from Elite RV in SD. He told me right away what the problem was. So I asked if he could replace the cooling unit coils on the back and he said yes. So he did not use Norcold, he used another company that gave more warranty. It is heavy duty like the Amish. Total was $2500.00 parts and labor and taxes. The repair turned out perfect. The two freezer temperature is zero and the fridge I like it at 34 degrees. But I really can not complain on the original Norcold 1200, it lasted seventeen years, plus they had given me back on the recall law suit $1200.00. But I definitely wanted a fridge that was both propane and AC. Had a neighbor parked next to me with a fifth wheel
trailer and he had a residential and he did not like it because while traveling long distances he said the fridge not having any power to it, eventually things would start thawing out and some food needed to stay cold. But he just could not see paying for a new propane/AC fridge.",Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Replaced/upgraded on board Thomas electric auxiliary air compressor
with much improved (and louder &#128528 Vlair 12v compressor.
Replaced two original dimmers (overheating/fire hazard) with touchpad dimmers 👍🏻.
Replaced/fabricated new outer plexiglass headlight lenses 👍🏻.
Replaced toilet seat and lid with soft close unit. No more occasional startling toilet lid slam if it gets left up while driving.
Fixed faulty turn signal
assembly in steering column
.
All in a good day's work. I keep a Google Task List on my phone with everything I would either like to do or needs to be done. Only 74 items left to be completed 🙄. Good thing I enjoy working on this coach.
Sent from my iPad using iRV2 - RV Forum",Lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ugh, not what I've done. What I need to do. Replace air filter, drain and flush coolant for MH and generator, change cartridge on air dryer, change transmission filters and wash and wax. Did I say ugh? 😕",Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hmmm... let's see. Lately?
Washed and waxed.
Dicor'd the roof (just days before a torrential rainstorm, I might add).
Replaced vent toppers some city trees really didn't like.
Replaced kitchen sink faucet.
Replaced both bathroom sink faucets.
Painted all the ugly brass fixtures to silver/grey.
February we fixed a minor generator issue and a major Hydro Hot issue. Next week is oil change. June is new tires on the steers, new shocks, alignment and brake check. MIGHT install a Safe-T-Plus.
It's been a busy 2016 so far",Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I just had the tran service done, and cleaned the coach. Now all thats left is 4 new 6v batteries for the house and we are ready.
So far in 2016 I have added 300 watts of solar, oil change on genset and engine, added balance rings, cleaned up some 'fixes' from the previous owner, lubed the chassis, fixed the screens the kids broke, fixed the kids bedroom door they broke, I'm sure there are other things and the kids will break something else with the first use in a couple of weeks. Almost seems like a full time job with the up keep and the kids.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hmm, two new chassis batteries, new service on Aqua Hot, removed, threw away Roadmaster Invisibrake, , installed new state of the Art SMI Air Force One supplemental braking system
. Enough already",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Front shocks, steering stabilizer damper. repair shower door
, re-caulk roof, Install bumper slinky holder, grease, replace vacuum rubber connectors, Install ARP control on refer. getting ready fro first trip in May.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Realigned wiper arm
, parked too low on the windshield. It's in the shop now to replace the GY 670's wi Michelin's - to finally fix the vibration (I hope), safe-t-steer going on as well. Already added Centrumatics. 5-star tune added last week - I popped a wheelie! <just kidding>. Shifts feel much more positive and it really settled down on cruise control on the limited test drive I took. Installed dash clips that were left off from the factory and I discovered while wiring the TPMS to get power - Thor sent me some clips. Installed an oxygenics shower head
, screen door grab bar, and a sound bar on the lounge TV.
Trying to decide on a trac bar - getting a little push on the highway with trucks passing or stiff breezes...and maybe sumo springs.
I'm not sure if it will ever end. I started out with an entry level rig, if I keep going I may end up with a high end coach 🚍!",Wiper Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filled the house batteries and lubricated all the joints on the step assembly. DW finished making the windshield sun shield and I put sunscreen film on the side windows.,Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Just got our RV back from the repair center for large hole in roof repair
. Once we started checking it out had to fix the following:
1. Front windshield rubber seal repaired.
2. Broken window shades.
3. Entry door step seal not installed properly.
4. electrical box loose from wall.
5. bay door misaligned.
Now everything is back to normal and operating properly.",Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missed two things on our PDI on our new rig. A broken toilet bolt and a cracked upper awning bracket. Have had them both fixed for little to no money.
Amazing what you can miss even spending 90 minutes going over a coach prior to signing papers and driving away!
But boy do we love our residential fridge, full size 30"" gas range and stacked washer/dryer!",Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Had the airbags replaced (after 20yrs I figured it was time) then did a chassis lube, installed crossfires, added tpms system, flushed and bleached the freshwater system. Next weekend I'll do the filters and we'll be ready for the first trip of the year.",Plumbing and Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A few months ago we got our first MH after having TCs for the last 30+ years. It is a '93 Flair 26' long with 40k miles on it. I wanted a shorter MH to be able to go to most of the places we went with the TC.
At this point I've replaced the radiator, water pump, belts, hoses, AC compressor
, converted to R134a refrigerant, and the coach batteries. I'm also working on many small leaks, replacing the refrigerator cooling unit, and plan to replace the brake master cyl. and hydroboost unit, possibly the rear brakes, and at least four tires. The tires have lots of tread but are weather cracked. I will also replace the outer skylight over the shower and install a better shower enclosure. The awning will also need some attention where the sun has damaged it at the top by the roller. Of course all lubricants will be changed, the chassis greased, and the front end has been aligned. I also have a backup camera to install so we can watch the toad. After that I think it will be ready for our upcoming 8k mile summer trip.
When we get back, if we still like it, I will probably replace the rubber roof along with a few other things. At that point we will probably keep it for many years.
I sure wish someone else had maintained it a little better.:-))
Steve",Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Replaced the sky light, twice--being anal it wasn't as good as it should have been (how is it a perfectly square sky light that fits over a perfectly square hole in the roof can't be screwed down any way you put it--seems the pre-drilled screw holes have a reason). Took out the toilet and completely replaced all the parts and put it back and the sprayer didn't work (seems you have to cut a nipple off the fitting if you use a sprayer). Took my coach to a dealer for step recall, ac service and replace ac roof seals. On the way a friend caliper locked burnt out ABS. Had the coach a week due to parts screw ups. Back home, waiting on the ABS sensor
but brake job done to front end (new rotors, calipers, pads) now the front ac not working. They put ac down on wiring loom and it arc'd in the connection from thermostat to ac. Back one works great, front one not getting ac power. Paid a local guy for 3 hrs to trouble shoot--he replaced the little connector for the thermostat wire and ac but that didn't correct problem. Dealer will have to do. Oh, I just had knee surgery last Friday--a month after foot surgery opposite foot. I need a little good juju to come my way!",Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
